"fips","location","population","density"
"56043","Washakie County, Wyoming",7805,3.4864388683
"56017","Hot Springs County, Wyoming",4413,2.2016243943
"56013","Fremont County, Wyoming",39261,4.2751253555
"56035","Sublette County, Wyoming",9831,2.0118769607
"56045","Weston County, Wyoming",6927,2.8886512178
"72009","Aibonito Municipio, Puerto Rico",22108,NA
"72059","Guayanilla Municipio, Puerto Rico",17623,NA
"72077","Juncos Municipio, Puerto Rico",38155,NA
"72079","Lajas Municipio, Puerto Rico",22010,NA
"72121","Sabana Grande Municipio, Puerto Rico",21712,NA
"72001","Adjuntas Municipio, Puerto Rico",17363,NA
"72027","Camuy Municipio, Puerto Rico",30504,NA
"72067","Hormigueros Municipio, Puerto Rico",15518,NA
"72103","Naguabo Municipio, Puerto Rico",25761,NA
"72105","Naranjito Municipio, Puerto Rico",27349,NA
"72141","Utuado Municipio, Puerto Rico",27395,NA
"72013","Arecibo Municipio, Puerto Rico",81966,NA
"72015","Arroyo Municipio, Puerto Rico",17238,NA
"72054","Florida Municipio, Puerto Rico",11317,NA
"72115","Quebradillas Municipio, Puerto Rico",22918,NA
"72057","Guayama Municipio, Puerto Rico",39465,NA
"72099","Moca Municipio, Puerto Rico",34891,NA
"72049","Culebra Municipio, Puerto Rico",1714,NA
"72063","Gurabo Municipio, Puerto Rico",47093,NA
"72123","Salinas Municipio, Puerto Rico",27128,NA
"72017","Barceloneta Municipio, Puerto Rico",23727,NA
"72153","Yauco Municipio, Puerto Rico",33575,NA
"72061","Guaynabo Municipio, Puerto Rico",83728,NA
"72005","Aguadilla Municipio, Puerto Rico",50265,NA
"72023","Cabo Rojo Municipio, Puerto Rico",47515,NA
"72053","Fajardo Municipio, Puerto Rico",29454,NA
"72109","Patillas Municipio, Puerto Rico",16211,NA
"72149","Villalba Municipio, Puerto Rico",21372,NA
"72007","Aguas Buenas Municipio, Puerto Rico",24814,NA
"72031","Carolina Municipio, Puerto Rico",146984,NA
"72035","Cayey Municipio, Puerto Rico",42409,NA
"72065","Hatillo Municipio, Puerto Rico",39218,NA
"72069","Humacao Municipio, Puerto Rico",50653,NA
"72101","Morovis Municipio, Puerto Rico",30335,NA
"72133","Santa Isabel Municipio, Puerto Rico",21209,NA
"72139","Trujillo Alto Municipio, Puerto Rico",63674,NA
"72091","Manatí Municipio, Puerto Rico",37287,NA
"72097","Mayagüez Municipio, Puerto Rico",71530,NA
"72111","Peñuelas Municipio, Puerto Rico",19249,NA
"72117","Rincón Municipio, Puerto Rico",13656,NA
"72119","Río Grande Municipio, Puerto Rico",48025,NA
"72125","San Germán Municipio, Puerto Rico",30227,NA
"72131","San Sebastián Municipio, Puerto Rico",35528,NA
"72011","Añasco Municipio, Puerto Rico",26161,NA
"72021","Bayamón Municipio, Puerto Rico",169269,NA
"72029","Canóvanas Municipio, Puerto Rico",44674,NA
"72033","Cataño Municipio, Puerto Rico",23121,NA
"72045","Comerío Municipio, Puerto Rico",18648,NA
"72055","Guánica Municipio, Puerto Rico",15383,NA
"72075","Juana Díaz Municipio, Puerto Rico",44679,NA
"72083","Las Marías Municipio, Puerto Rico",7927,NA
"72087","Loíza Municipio, Puerto Rico",24553,NA
"72047","Corozal Municipio, Puerto Rico",32293,NA
"35005","Chaves County, New Mexico",64615,10.649933773
"35025","Lea County, New Mexico",71070,16.183646715
"35049","Santa Fe County, New Mexico",150358,78.705888768
"35059","Union County, New Mexico",4059,1.0611590963
"35051","Sierra County, New Mexico",10791,2.5808402227
"35053","Socorro County, New Mexico",16637,2.5031646355
"35041","Roosevelt County, New Mexico",18500,7.5632109614
"35013","Doña Ana County, New Mexico",218195,57.29626104
"35028","Los Alamos County, New Mexico",19369,177.36131825
"35039","Rio Arriba County, New Mexico",38921,6.6408197872
"35047","San Miguel County, New Mexico",27277,5.7771715417
"35061","Valencia County, New Mexico",76688,71.889786821
"35057","Torrance County, New Mexico",15461,4.6218283705
"35001","Bernalillo County, New Mexico",679121,584.81475658
"35035","Otero County, New Mexico",67490,10.206331194
"35006","Cibola County, New Mexico",26675,5.8755708181
"35011","De Baca County, New Mexico",1748,0.7524405615
"35019","Guadalupe County, New Mexico",4300,1.4192488889
"35003","Catron County, New Mexico",3527,0.5093739202
"36095","Schoharie County, New York",30999,49.852132934
"36005","Bronx County, New York",1418207,33726.504271
"36067","Onondaga County, New York",460528,591.64396863
"36035","Fulton County, New York",53383,107.74438361
"36019","Clinton County, New York",80485,77.556663383
"36099","Seneca County, New York",34016,105.08188284
"36083","Rensselaer County, New York",158714,243.25640923
"36079","Putnam County, New York",98320,426.87222133
"36033","Franklin County, New York",50022,30.703152587
"36043","Herkimer County, New York",61319,43.441185009
"36069","Ontario County, New York",109777,170.44802449
"36081","Queens County, New York",2253858,20719.741247
"36101","Steuben County, New York",95379,68.590607713
"36041","Hamilton County, New York",4416,2.5713611478
"36115","Washington County, New York",61204,73.636188916
"36013","Chautauqua County, New York",126903,119.69102866
"36047","Kings County, New York",2559903,36901.373131
"36061","New York County, New York",1628706,71874.138732
"36107","Tioga County, New York",48203,92.9464711
"36011","Cayuga County, New York",76576,110.72575473
"36073","Orleans County, New York",40352,103.132638
"36091","Saratoga County, New York",229863,283.78298772
"36087","Rockland County, New York",325789,1878.3505416
"36021","Columbia County, New York",59461,93.689022044
"36049","Lewis County, New York",26296,20.6301086
"36063","Niagara County, New York",209281,400.65064847
"36119","Westchester County, New York",967506,2246.9377106
"36025","Delaware County, New York",44135,30.597824625
"35027","Lincoln County, New Mexico",19572,4.0512386308
"36031","Essex County, New York",36885,20.55884778
"36057","Montgomery County, New York",49221,122.10117072
"36059","Nassau County, New York",1356924,4767.2768183
"36085","Richmond County, New York",476143,8277.8254914
"36089","St. Lawrence County, New York",107740,40.208969052
"36097","Schuyler County, New York",17807,54.232858875
"36109","Tompkins County, New York",102180,215.27841332
"36113","Warren County, New York",63944,73.734692899
"36017","Chenango County, New York",47207,52.828329489
"36023","Cortland County, New York",47581,95.396124759
"36027","Dutchess County, New York",294218,369.78375908
"36045","Jefferson County, New York",109834,86.571938376
"36055","Monroe County, New York",741770,1129.2528105
"36065","Oneida County, New York",228671,188.62097719
"36103","Suffolk County, New York",1476601,1619.4232899
"36111","Ulster County, New York",177573,157.94992078
"36121","Wyoming County, New York",39859,67.244018547
"36015","Chemung County, New York",83456,204.87412967
"36051","Livingston County, New York",62914,99.585045201
"36075","Oswego County, New York",117124,123.07519405
"36077","Otsego County, New York",59493,59.389832161
"36039","Greene County, New York",47188,72.915339799
"36117","Wayne County, New York",89918,148.91272452
"36001","Albany County, New York",305506,584.33256541
"36003","Allegany County, New York",46091,44.77637219
"36007","Broome County, New York",190488,269.88239734
"36009","Cattaraugus County, New York",76117,58.181057809
"36029","Erie County, New York",918702,881.05768715
"36053","Madison County, New York",70941,108.33200053
"36093","Schenectady County, New York",155299,759.10726707
"36105","Sullivan County, New York",75432,77.914576302
"36037","Genesee County, New York",57280,116.20104734
"36123","Yates County, New York",24913,73.674655804
"36071","Orange County, New York",384940,473.88006089
"37079","Greene County, North Carolina",21069,78.988600799
"37087","Haywood County, North Carolina",62317,112.57496366
"37121","Mitchell County, North Carolina",14964,67.633735428
"37041","Chowan County, North Carolina",13943,80.755419153
"72095","Maunabo Municipio, Puerto Rico",10321,NA
"72113","Ponce Municipio, Puerto Rico",131881,NA
"72135","Toa Alta Municipio, Puerto Rico",72025,NA
"72137","Toa Baja Municipio, Puerto Rico",74271,NA
"72147","Vieques Municipio, Puerto Rico",8386,NA
"72151","Yabucoa Municipio, Puerto Rico",32282,NA
"72003","Aguada Municipio, Puerto Rico",36694,NA
"72025","Caguas Municipio, Puerto Rico",124606,NA
"72041","Cidra Municipio, Puerto Rico",38307,NA
"72043","Coamo Municipio, Puerto Rico",38336,NA
"72051","Dorado Municipio, Puerto Rico",36141,NA
"72089","Luquillo Municipio, Puerto Rico",17665,NA
"72019","Barranquitas Municipio, Puerto Rico",27725,NA
"72107","Orocovis Municipio, Puerto Rico",20220,NA
"72129","San Lorenzo Municipio, Puerto Rico",35989,NA
"72037","Ceiba Municipio, Puerto Rico",10904,NA
"72039","Ciales Municipio, Puerto Rico",15808,NA
"72071","Isabela Municipio, Puerto Rico",40423,NA
"72073","Jayuya Municipio, Puerto Rico",13891,NA
"72081","Lares Municipio, Puerto Rico",24276,NA
"72085","Las Piedras Municipio, Puerto Rico",37007,NA
"72127","San Juan Municipio, Puerto Rico",318441,NA
"72143","Vega Alta Municipio, Puerto Rico",36061,NA
"72145","Vega Baja Municipio, Puerto Rico",50023,NA
"72093","Maricao Municipio, Puerto Rico",5430,NA
"37027","Caldwell County, North Carolina",82178,174.14608166
"37035","Catawba County, North Carolina",159551,397.51319692
"37045","Cleveland County, North Carolina",97947,210.99489475
"37049","Craven County, North Carolina",102139,144.5555646
"37065","Edgecombe County, North Carolina",51472,101.83748118
"37077","Granville County, North Carolina",60443,113.6165962
"37085","Harnett County, North Carolina",135976,228.52258588
"37093","Hoke County, North Carolina",55234,141.58061619
"37089","Henderson County, North Carolina",117417,314.8389384
"37095","Hyde County, North Carolina",4937,8.0624447293
"37097","Iredell County, North Carolina",181806,316.57176203
"37119","Mecklenburg County, North Carolina",1110356,2120.6952358
"37131","Northampton County, North Carolina",19483,36.302998216
"37147","Pitt County, North Carolina",180742,277.05461555
"37159","Rowan County, North Carolina",142088,277.79772419
"37181","Vance County, North Carolina",44535,176.44596321
"37039","Cherokee County, North Carolina",28612,62.808841651
"37053","Currituck County, North Carolina",27763,106.0010731
"37179","Union County, North Carolina",239859,379.08988838
"37193","Wilkes County, North Carolina",68412,90.667151638
"37067","Forsyth County, North Carolina",382295,937.43532337
"37127","Nash County, North Carolina",94298,174.4825438
"37003","Alexander County, North Carolina",37497,144.22752207
"37017","Bladen County, North Carolina",32722,37.402377212
"37055","Dare County, North Carolina",37009,96.571562372
"37031","Carteret County, North Carolina",69473,136.8649266
"37185","Warren County, North Carolina",19731,45.9511292
"37195","Wilson County, North Carolina",81801,222.55826689
"37015","Bertie County, North Carolina",18947,27.0990253
"37073","Gates County, North Carolina",11562,33.944753913
"37075","Graham County, North Carolina",8441,28.910878119
"37117","Martin County, North Carolina",22440,49.164708645
"37115","Madison County, North Carolina",21755,48.385830401
"37137","Pamlico County, North Carolina",12726,37.818061616
"37143","Perquimans County, North Carolina",13463,54.468411395
"37149","Polk County, North Carolina",20724,87.190319676
"37151","Randolph County, North Carolina",143667,183.6394736
"37157","Rockingham County, North Carolina",91010,160.89779213
"37169","Stokes County, North Carolina",45591,101.53575237
"37187","Washington County, North Carolina",11580,33.418969015
"37029","Camden County, North Carolina",10867,45.217221115
"37043","Clay County, North Carolina",11231,52.241235419
"37051","Cumberland County, North Carolina",335509,514.14058616
"37005","Alleghany County, North Carolina",11137,47.509157206
"37071","Gaston County, North Carolina",224529,631.14399141
"37081","Guilford County, North Carolina",537174,831.63473721
"37099","Jackson County, North Carolina",43938,89.467275583
"37125","Moore County, North Carolina",100880,144.59422488
"37139","Pasquotank County, North Carolina",39824,175.52892186
"37155","Robeson County, North Carolina",130625,137.89527245
"37167","Stanly County, North Carolina",62806,158.94886275
"37173","Swain County, North Carolina",14271,27.042314753
"37183","Wake County, North Carolina",1111761,1331.7237897
"37199","Yancey County, North Carolina",18069,57.803747003
"37007","Anson County, North Carolina",24446,45.997713289
"37037","Chatham County, North Carolina",74470,109.23828497
"48293","Limestone County, Texas",23437,25.884934893
"48347","Nacogdoches County, Texas",65204,68.885415109
"48369","Parmer County, Texas",9605,10.90461678
"48367","Parker County, Texas",142878,158.09984849
"48377","Presidio County, Texas",6704,1.7389263549
"48465","Val Verde County, Texas",49025,15.589476621
"48109","Culberson County, Texas",2171,0.5694939354
"48135","Ector County, Texas",166223,185.14231879
"48169","Garza County, Texas",6229,6.9721337513
"48173","Glasscock County, Texas",1409,1.5651770012
"48185","Grimes County, Texas",28880,36.674567913
"48453","Travis County, Texas",1273954,1283.9265476
"48085","Collin County, Texas",1034730,1229.7687086
"48005","Angelina County, Texas",86715,108.69412151
"48087","Collingsworth County, Texas",2920,3.1793022339
"48101","Cottle County, Texas",1398,1.5523613289
"48209","Hays County, Texas",230191,339.50235229
"48143","Erath County, Texas",42698,39.419199755
"48039","Brazoria County, Texas",374264,274.5339241
"48345","Motley County, Texas",1200,1.2126528967
"48129","Donley County, Texas",3278,3.5364956816
"48013","Atascosa County, Texas",51153,41.944468269
"48083","Coleman County, Texas",8175,6.4731226341
"48353","Nolan County, Texas",14714,16.133821887
"48229","Hudspeth County, Texas",4886,1.0690237627
"48325","Medina County, Texas",51584,38.920780674
"48475","Ward County, Texas",11998,14.358497738
"48213","Henderson County, Texas",82737,94.6913653
"48203","Harrison County, Texas",66553,73.943031064
"48327","Menard County, Texas",2138,2.3702184395
"48277","Lamar County, Texas",49859,54.959455356
"48149","Fayette County, Texas",25346,26.681861992
"48491","Williamson County, Texas",590551,528.06043458
"48267","Kimble County, Texas",4337,3.4668682783
"48233","Hutchinson County, Texas",20938,23.594229205
"48477","Washington County, Texas",35882,59.388218198
"48343","Morris County, Texas",12388,49.160835028
"48361","Orange County, Texas",83396,249.84889377
"48429","Stephens County, Texas",9366,10.444717572
"48495","Winkler County, Texas",8010,9.5213322415
"48201","Harris County, Texas",4713325,2762.5492191
"48003","Andrews County, Texas",18705,12.464006149
"48053","Burnet County, Texas",48155,48.432225567
"48171","Gillespie County, Texas",26988,25.503644872
"48177","Gonzales County, Texas",20837,19.534326919
"48113","Dallas County, Texas",2635516,3021.0825913
"48305","Lynn County, Texas",5951,6.6725194955
"48311","McMullen County, Texas",743,0.6518692887
"48503","Young County, Texas",18010,19.693857231
"48505","Zapata County, Texas",14179,14.201545914
"48251","Johnson County, Texas",175817,242.49884518
"48221","Hood County, Texas",61643,146.52184064
"48223","Hopkins County, Texas",37084,48.322452085
"48357","Ochiltree County, Texas",9836,10.718279654
"48269","King County, Texas",272,0.2986147935
"48275","Knox County, Texas",3664,4.3074404297
"48309","McLennan County, Texas",256623,247.43116597
"48073","Cherokee County, Texas",52646,49.998321227
"48095","Concho County, Texas",2726,2.7710147494
"48119","Delta County, Texas",5331,20.756749454
"48137","Edwards County, Texas",1932,0.9122369874
"48133","Eastland County, Texas",18360,19.816341085
"48253","Jones County, Texas",20083,21.627863961
"48243","Jeff Davis County, Texas",2274,1.0041704612
"48247","Jim Hogg County, Texas",5200,4.5767673443
"48249","Jim Wells County, Texas",40482,46.790818631
"48339","Montgomery County, Texas",607391,582.74698473
"48111","Dallam County, Texas",7287,4.8478760867
"48127","Dimmit County, Texas",10124,7.6184187949
"48479","Webb County, Texas",276652,82.300711375
"48157","Fort Bend County, Texas",811688,941.89227299
"48011","Armstrong County, Texas",1887,2.0756584535
"48069","Castro County, Texas",7530,8.4186334778
"48235","Irion County, Texas",1536,1.4607093906
"48273","Kleberg County, Texas",30680,34.811964901
"48489","Willacy County, Texas",21358,36.163100451
"48097","Cooke County, Texas",41257,47.160623334
"48107","Crosby County, Texas",5737,6.3730385172
"48115","Dawson County, Texas",12728,14.137416564
"48151","Fisher County, Texas",3830,4.260521797
"48131","Duval County, Texas",11157,6.2208760739
"48051","Burleson County, Texas",18443,27.98492027
"48031","Blanco County, Texas",11931,16.821952593
"48271","Kinney County, Texas",3667,2.6962148766
"48359","Oldham County, Texas",2112,1.4075090488
"48279","Lamb County, Texas",12893,12.687695533
"48295","Lipscomb County, Texas",3233,3.468088415
"48307","McCulloch County, Texas",7984,7.4924861882
"48319","Mason County, Texas",4274,4.6014581538
"48125","Dickens County, Texas",2211,2.4519694288
"48287","Lee County, Texas",17239,27.406054534
"48439","Tarrant County, Texas",2102515,2434.4302532
"48001","Anderson County, Texas",57735,54.332129287
"48139","Ellis County, Texas",184826,197.53540232
"48239","Jackson County, Texas",14760,17.795080504
"48265","Kerr County, Texas",52600,47.673994342
"48331","Milam County, Texas",24823,24.409933651
"48093","Comanche County, Texas",13635,14.540076693
"48145","Falls County, Texas",17297,22.596724105
"48047","Brooks County, Texas",7093,7.5189120099
"48015","Austin County, Texas",30032,46.453807288
"48261","Kenedy County, Texas",404,0.2770058497
"48355","Nueces County, Texas",362294,432.17903384
"48089","Colorado County, Texas",21493,22.3818677
"48409","San Patricio County, Texas",66730,96.230941374
"48379","Rains County, Texas",12514,54.538367195
"48381","Randall County, Texas",137713,151.01212562
"48385","Real County, Texas",3452,4.9373619627
"48411","San Saba County, Texas",6055,5.3333307745
"48413","Schleicher County, Texas",2793,2.1310173264
"48431","Sterling County, Texas",1291,1.3980192646
"48507","Zavala County, Texas",11840,9.1258940976
"48057","Calhoun County, Texas",21290,42.005446996
"48065","Carson County, Texas",5926,6.439660462
"48155","Foard County, Texas",1155,1.6397013696
"48161","Freestone County, Texas",19717,22.463610852
"48175","Goliad County, Texas",7658,8.988145465
"48193","Hamilton County, Texas",8461,10.121847605
"48197","Hardeman County, Texas",3933,5.6580632326
"48335","Mitchell County, Texas",8545,9.3788807722
"48449","Titus County, Texas",32750,80.652548179
"48045","Briscoe County, Texas",1546,1.7177763975
"48285","Lavaca County, Texas",20154,20.783549883
"48291","Liberty County, Texas",88219,76.159621626
"48445","Terry County, Texas",12337,13.879898312
"48497","Wise County, Texas",69984,77.38222196
"48301","Loving County, Texas",169,0.2526846656
"48321","Matagorda County, Texas",36643,33.528159616
"48241","Jasper County, Texas",35529,37.850964854
"48245","Jefferson County, Texas",251565,287.05274407
"48371","Pecos County, Texas",15823,3.3214837841
"48395","Robertson County, Texas",17074,19.967069855
"48397","Rockwall County, Texas",104915,825.36062823
"48401","Rusk County, Texas",54406,58.87860041
"48441","Taylor County, Texas",138034,150.76844719
"48447","Throckmorton County, Texas",1501,1.6448372763
"48455","Trinity County, Texas",14651,21.117142815
"48471","Walker County, Texas",72971,93.048938054
"48499","Wood County, Texas",45539,70.576539615
"48019","Bandera County, Texas",23112,29.218905059
"48007","Aransas County, Texas",23510,93.267957402
"48075","Childress County, Texas",7306,10.489428085
"48079","Cochran County, Texas",2853,3.6808994862
"48081","Coke County, Texas",3387,3.7152563309
"48091","Comal County, Texas",156209,279.18162034
"48099","Coryell County, Texas",75951,72.183136949
"48211","Hemphill County, Texas",3819,4.2139012929
"48225","Houston County, Texas",22968,18.657980077
"48341","Moore County, Texas",20940,23.274474875
"48349","Navarro County, Texas",50113,49.634141212
"48375","Potter County, Texas",117415,129.25618245
"48405","San Augustine County, Texas",8237,15.522268573
"48415","Scurry County, Texas",16703,18.447292328
"48417","Shackelford County, Texas",3265,3.57109341
"48427","Starr County, Texas",64633,52.840176094
"48433","Stonewall County, Texas",1350,1.4732963018
"48461","Upton County, Texas",3657,2.9460512889
"48021","Bastrop County, Texas",88723,99.890257551
"48049","Brown County, Texas",37864,40.090958632
"48191","Hall County, Texas",2964,3.3548691802
"48025","Bee County, Texas",32565,36.995617217
"48159","Franklin County, Texas",10725,37.71211127
"48163","Frio County, Texas",20306,17.914411486
"48103","Crane County, Texas",4797,6.110289723
"48281","Lampasas County, Texas",21428,30.059982974
"50021","Rutland County, Vermont",58191,62.583169139
"50019","Orleans County, Vermont",27037,38.982170228
"50013","Grand Isle County, Vermont",7235,88.438827029
"50017","Orange County, Vermont",28892,42.053568485
"50007","Chittenden County, Vermont",163774,305.21506861
"50015","Lamoille County, Vermont",25362,55.270513776
"50027","Windsor County, Vermont",55062,56.789630979
"50011","Franklin County, Vermont",49402,77.906075915
"28009","Benton County, Mississippi",8259,20.311530418
"28037","Franklin County, Mississippi",7713,13.676416201
"28027","Coahoma County, Mississippi",22124,40.04425448
"28061","Jasper County, Mississippi",16383,24.226590338
"28067","Jones County, Mississippi",68098,98.009284839
"28147","Walthall County, Mississippi",14286,35.367668867
"28095","Monroe County, Mississippi",35252,46.075711377
"28115","Pontotoc County, Mississippi",32174,64.637114568
"28051","Holmes County, Mississippi",17010,22.479955521
"28005","Amite County, Mississippi",12297,16.842892656
"51650","Hampton city, Virginia",134510,2613.9697686
"51009","Amherst County, Virginia",31605,66.682629736
"51013","Arlington County, Virginia",236842,9110.2137123
"51017","Bath County, Virginia",4147,7.836331572
"51670","Hopewell city, Virginia",22529,2175.7981762
"51027","Buchanan County, Virginia",21004,41.769544661
"51700","Newport News city, Virginia",179225,2597.7568184
"51069","Frederick County, Virginia",89313,216.16593192
"51179","Stafford County, Virginia",152882,567.90220642
"51680","Lynchburg city, Virginia",82168,1677.7821337
"51199","York County, Virginia",68280,652.71795258
"51760","Richmond city, Virginia",230436,3845.5317317
"51690","Martinsville city, Virginia",12554,1145.8278262
"51125","Nelson County, Virginia",14930,31.715668352
"51057","Essex County, Virginia",10953,42.604057261
"51143","Pittsylvania County, Virginia",60354,62.284648801
"51185","Tazewell County, Virginia",40595,78.249267481
"51530","Buena Vista city, Virginia",6478,1006.1886551
"51610","Falls Church city, Virginia",14617,7142.6383443
"51685","Manassas Park city, Virginia",17478,6923.0395532
"51730","Petersburg city, Virginia",31346,1379.6479406
"51735","Poquoson city, Virginia",12271,797.78266605
"51183","Sussex County, Virginia",11159,22.762978693
"51600","Fairfax city, Virginia",24019,3848.9120106
"51820","Waynesboro city, Virginia",22630,1511.7105693
"51683","Manassas city, Virginia",41085,4171.3780986
"51770","Roanoke city, Virginia",99143,2331.6121525
"51775","Salem city, Virginia",25301,1742.6745676
"51800","Suffolk city, Virginia",92108,230.75835845
"51710","Norfolk city, Virginia",242742,4556.4021573
"51037","Charlotte County, Virginia",11880,24.994967113
"51041","Chesterfield County, Virginia",352802,832.9516176
"51059","Fairfax County, Virginia",1147532,2934.8116361
"51081","Greensville County, Virginia",11336,38.397563716
"53047","Okanogan County, Washington",42243,8.0215523802
"53037","Kittitas County, Washington",47935,20.865716698
"53067","Thurston County, Washington",290536,402.13160725
"53005","Benton County, Washington",204390,120.22256331
"53013","Columbia County, Washington",3985,4.5879216491
"53011","Clark County, Washington",488241,776.85533336
"29205","Shelby County, Missouri",5930,11.839555224
"29225","Webster County, Missouri",39592,66.814815375
"29005","Atchison County, Missouri",5143,9.3972906116
"29013","Bates County, Missouri",16172,19.328436321
"29015","Benton County, Missouri",19443,27.616221732
"29035","Carter County, Missouri",5982,11.790479403
"29057","Dade County, Missouri",7561,15.430285339
"29115","Linn County, Missouri",11920,19.363587929
"29091","Howell County, Missouri",40117,43.26456481
"29101","Johnson County, Missouri",54062,65.193056194
"29105","Laclede County, Missouri",35723,46.719314795
"29125","Maries County, Missouri",8697,16.503529137
"29161","Phelps County, Missouri",44573,66.349948124
"29165","Platte County, Missouri",104418,248.74104911
"29187","St. Francois County, Missouri",67215,148.74295845
"29510","St. Louis city, Missouri",300576,4868.1340932
"29003","Andrew County, Missouri",17712,40.940176015
"29023","Butler County, Missouri",42478,61.148432096
"29033","Carroll County, Missouri",8679,12.494570616
"29061","Daviess County, Missouri",8278,14.696013434
"29087","Holt County, Missouri",4403,9.5160268006
"29103","Knox County, Missouri",3959,7.8550222824
"29127","Marion County, Missouri",28530,65.297661358
"29139","Montgomery County, Missouri",11551,21.588757537
"29151","Osage County, Missouri",13615,22.44552221
"29181","Ripley County, Missouri",13288,21.107767682
"29207","Stoddard County, Missouri",29025,35.257978342
"29219","Warren County, Missouri",35649,83.174037337
"29221","Washington County, Missouri",24730,32.545209763
"29007","Audrain County, Missouri",25388,36.674883278
"29043","Christian County, Missouri",88595,157.46085469
"29063","DeKalb County, Missouri",12547,29.777552496
"29077","Greene County, Missouri",293086,433.99134554
"29081","Harrison County, Missouri",8352,11.559592485
"29107","Lafayette County, Missouri",32708,52.046688119
"29185","St. Clair County, Missouri",9397,13.921868747
"29001","Adair County, Missouri",25343,44.671131616
"29197","Schuyler County, Missouri",4660,15.164085097
"29199","Scotland County, Missouri",4902,11.230055778
"29211","Sullivan County, Missouri",6089,9.3968690767
"29029","Camden County, Missouri",46305,70.582263849
"29045","Clark County, Missouri",6797,13.469902318
"29097","Jasper County, Missouri",121328,190.0185214
"29099","Jefferson County, Missouri",225081,342.86704813
"29111","Lewis County, Missouri",9776,19.356807308
"29119","McDonald County, Missouri",22837,42.33149127
"29143","New Madrid County, Missouri",17076,25.303107644
"29157","Perry County, Missouri",19136,40.341082461
"29167","Polk County, Missouri",32149,50.586398876
"29173","Ralls County, Missouri",10309,21.943997437
"29177","Ray County, Missouri",23018,40.466991263
"30017","Custer County, Montana",11402,3.013764257
"30041","Hill County, Montana",16484,5.6857649916
"30015","Chouteau County, Montana",5635,1.4184887736
"30075","Powder River County, Montana",1682,0.5099757071
"30053","Lincoln County, Montana",19980,5.5307416997
"30067","Park County, Montana",16606,5.9254860741
"30085","Roosevelt County, Montana",11004,4.673400701
"30103","Treasure County, Montana",696,0.7118014976
"30005","Blaine County, Montana",6681,1.5805077967
"30051","Liberty County, Montana",2337,1.6342849988
"30097","Sweet Grass County, Montana",3737,2.0140071587
"30083","Richland County, Montana",10803,5.1823990582
"30099","Teton County, Montana",6147,2.706018259
"30079","Prairie County, Montana",1077,0.6201763872
"30101","Toole County, Montana",4736,2.4730862096
"30035","Glacier County, Montana",13753,4.5920690096
"30025","Fallon County, Montana",2846,1.7561456253
"30019","Daniels County, Montana",1690,1.1851196078
"30037","Golden Valley County, Montana",821,0.6990668972
"30045","Judith Basin County, Montana",2007,1.0734417522
"30093","Silver Bow County, Montana",34915,48.629261015
"30095","Stillwater County, Montana",9642,5.3663673795
"30023","Deer Lodge County, Montana",9140,12.406969979
"30043","Jefferson County, Montana",12221,7.375987558
"30039","Granite County, Montana",3379,1.9563885246
"30055","McCone County, Montana",1664,0.6297721681
"30107","Wheatland County, Montana",2126,1.4945719367
"30057","Madison County, Montana",8600,2.3967733878
"30087","Rosebud County, Montana",8937,1.7844965407
"30091","Sheridan County, Montana",3309,1.9745695867
"30011","Carter County, Montana",1252,0.3747967343
"30021","Dawson County, Montana",8613,3.6312389346
"30003","Big Horn County, Montana",13319,2.6649647236
"30007","Broadwater County, Montana",6237,5.2308066018
"30047","Lake County, Montana",30458,20.43520938
"30049","Lewis and Clark County, Montana",69432,20.076447454
"53003","Asotin County, Washington",22582,35.502075007
"53001","Adams County, Washington",19983,10.380837609
"53023","Garfield County, Washington",2225,3.1301202931
"53045","Mason County, Washington",66768,69.582170877
"53057","Skagit County, Washington",129205,74.675423726
"53065","Stevens County, Washington",45723,18.456077462
"53063","Spokane County, Washington",522798,296.38858142
"53043","Lincoln County, Washington",10939,4.7342721583
"53007","Chelan County, Washington",77200,26.427687744
"53031","Jefferson County, Washington",32221,17.863595903
"53035","Kitsap County, Washington",271473,687.05358709
"53033","King County, Washington",2252782,1065.0027467
"53049","Pacific County, Washington",22471,24.068951795
"53051","Pend Oreille County, Washington",13724,9.8010458574
"53055","San Juan County, Washington",17582,101.09730097
"53059","Skamania County, Washington",12083,7.2864564275
"53075","Whitman County, Washington",50104,23.204230903
"53077","Yakima County, Washington",250873,58.417117784
"53009","Clallam County, Washington",77331,44.476761586
"53015","Cowlitz County, Washington",110593,96.91166412
"53019","Ferry County, Washington",7627,3.4617223747
"53039","Klickitat County, Washington",22425,11.981493479
"53041","Lewis County, Washington",80707,33.58896436
"53017","Douglas County, Washington",43429,23.871752122
"53027","Grays Harbor County, Washington",75061,39.475394474
"53029","Island County, Washington",85141,408.32643903
"53053","Pierce County, Washington",904980,542.53805418
"53069","Wahkiakum County, Washington",4488,17.069749783
"53021","Franklin County, Washington",95222,76.693229865
"53071","Walla Walla County, Washington",60760,47.841294958
"53025","Grant County, Washington",97733,36.474335196
"53073","Whatcom County, Washington",229247,108.75731788
"53061","Snohomish County, Washington",822083,393.99641884
"54023","Grant County, West Virginia",11568,24.232662101
"54027","Hampshire County, West Virginia",23175,36.188205303
"54089","Summers County, West Virginia",12573,34.867616067
"54009","Brooke County, West Virginia",21939,245.96476615
